OBJECTID,ZIPCODE,ZIP,TOOLTIP,NLA_URL
51,90059,90059,Zip Code: 90059,navigatela/reports/zipcode_county_report.cfm?pk=90059
52,90061,90061,Zip Code: 90061,navigatela/reports/zipcode_county_report.cfm?pk=90061
53,90062,90062,Zip Code: 90062,navigatela/reports/zipcode_county_report.cfm?pk=90062
54,90063,90063,Zip Code: 90063,navigatela/reports/zipcode_county_report.cfm?pk=90063
55,90064,90064,Zip Code: 90064,navigatela/reports/zipcode_county_report.cfm?pk=90064
56,90065,90065,Zip Code: 90065,navigatela/reports/zipcode_county_report.cfm?pk=90065
57,90066,90066,Zip Code: 90066,navigatela/reports/zipcode_county_report.cfm?pk=90066
58,90067,90067,Zip Code: 90067,navigatela/reports/zipcode_county_report.cfm?pk=90067
59,90068,90068,Zip Code: 90068,navigatela/reports/zipcode_county_report.cfm?pk=90068
60,90069,90069,Zip Code: 90069,navigatela/reports/zipcode_county_report.cfm?pk=90069
61,90071,90071,Zip Code: 90071,navigatela/reports/zipcode_county_report.cfm?pk=90071
62,90073,90073,Zip Code: 90073,navigatela/reports/zipcode_county_report.cfm?pk=90073
63,90077,90077,Zip Code: 90077,navigatela/reports/zipcode_county_report.cfm?pk=90077
64,90089,90089,Zip Code: 90089,navigatela/reports/zipcode_county_report.cfm?pk=90089
65,90094,90094,Zip Code: 90094,navigatela/reports/zipcode_county_report.cfm?pk=90094
66,90095,90095,Zip Code: 90095,navigatela/reports/zipcode_county_report.cfm?pk=90095
67,90201,90201,Zip Code: 90201,navigatela/reports/zipcode_county_report.cfm?pk=90201
68,90210,90210,Zip Code: 90210,navigatela/reports/zipcode_county_report.cfm?pk=90210
69,90211,90211,Zip Code: 90211,navigatela/reports/zipcode_county_report.cfm?pk=90211
70,90212,90212,Zip Code: 90212,navigatela/reports/zipcode_county_report.cfm?pk=90212
71,90220,90220,Zip Code: 90220,navigatela/reports/zipcode_county_report.cfm?pk=90220
72,90221,90221,Zip Code: 90221,navigatela/reports/zipcode_county_report.cfm?pk=90221
73,90222,90222,Zip Code: 90222,navigatela/reports/zipcode_county_report.cfm?pk=90222
74,90230,90230,Zip Code: 90230,navigatela/reports/zipcode_county_report.cfm?pk=90230
75,90232,90232,Zip Code: 90232,navigatela/reports/zipcode_county_report.cfm?pk=90232
76,90240,90240,Zip Code: 90240,navigatela/reports/zipcode_county_report.cfm?pk=90240
77,90241,90241,Zip Code: 90241,navigatela/reports/zipcode_county_report.cfm?pk=90241
78,90242,90242,Zip Code: 90242,navigatela/reports/zipcode_county_report.cfm?pk=90242
79,90245,90245,Zip Code: 90245,navigatela/reports/zipcode_county_report.cfm?pk=90245
80,90247,90247,Zip Code: 90247,navigatela/reports/zipcode_county_report.cfm?pk=90247
81,90248,90248,Zip Code: 90248,navigatela/reports/zipcode_county_report.cfm?pk=90248
82,90249,90249,Zip Code: 90249,navigatela/reports/zipcode_county_report.cfm?pk=90249
83,90250,90250,Zip Code: 90250,navigatela/reports/zipcode_county_report.cfm?pk=90250
84,90254,90254,Zip Code: 90254,navigatela/reports/zipcode_county_report.cfm?pk=90254
85,90255,90255,Zip Code: 90255,navigatela/reports/zipcode_county_report.cfm?pk=90255
86,90260,90260,Zip Code: 90260,navigatela/reports/zipcode_county_report.cfm?pk=90260
87,90261,90261,Zip Code: 90261,navigatela/reports/zipcode_county_report.cfm?pk=90261
88,90262,90262,Zip Code: 90262,navigatela/reports/zipcode_county_report.cfm?pk=90262
89,90263,90263,Zip Code: 90263,navigatela/reports/zipcode_county_report.cfm?pk=90263
90,90265,90265,Zip Code: 90265,navigatela/reports/zipcode_county_report.cfm?pk=90265
91,90266,90266,Zip Code: 90266,navigatela/reports/zipcode_county_report.cfm?pk=90266
92,90270,90270,Zip Code: 90270,navigatela/reports/zipcode_county_report.cfm?pk=90270
93,90272,90272,Zip Code: 90272,navigatela/reports/zipcode_county_report.cfm?pk=90272
94,90274,90274,Zip Code: 90274,navigatela/reports/zipcode_county_report.cfm?pk=90274
95,90275,90275,Zip Code: 90275,navigatela/reports/zipcode_county_report.cfm?pk=90275
96,90277,90277,Zip Code: 90277,navigatela/reports/zipcode_county_report.cfm?pk=90277
97,90278,90278,Zip Code: 90278,navigatela/reports/zipcode_county_report.cfm?pk=90278
98,90280,90280,Zip Code: 90280,navigatela/reports/zipcode_county_report.cfm?pk=90280
99,90290,90290,Zip Code: 90290,navigatela/reports/zipcode_county_report.cfm?pk=90290
100,90291,90291,Zip Code: 90291,navigatela/reports/zipcode_county_report.cfm?pk=90291
101,90292,90292,Zip Code: 90292,navigatela/reports/zipcode_county_report.cfm?pk=90292
102,90293,90293,Zip Code: 90293,navigatela/reports/zipcode_county_report.cfm?pk=90293
103,90301,90301,Zip Code: 90301,navigatela/reports/zipcode_county_report.cfm?pk=90301
104,90302,90302,Zip Code: 90302,navigatela/reports/zipcode_county_report.cfm?pk=90302
105,90303,90303,Zip Code: 90303,navigatela/reports/zipcode_county_report.cfm?pk=90303
106,90304,90304,Zip Code: 90304,navigatela/reports/zipcode_county_report.cfm?pk=90304
107,90305,90305,Zip Code: 90305,navigatela/reports/zipcode_county_report.cfm?pk=90305
108,90401,90401,Zip Code: 90401,navigatela/reports/zipcode_county_report.cfm?pk=90401
109,90402,90402,Zip Code: 90402,navigatela/reports/zipcode_county_report.cfm?pk=90402
110,90403,90403,Zip Code: 90403,navigatela/reports/zipcode_county_report.cfm?pk=90403
111,90404,90404,Zip Code: 90404,navigatela/reports/zipcode_county_report.cfm?pk=90404
